scenario_id,feeder_id,pv_bus,existing_pv_kw,new_pv_kw,total_pv_kw,base_pv_bus_voltage_pu,pv_pv_bus_voltage_pu,delta_pv_bus_voltage_pu,pv_max_voltage_pu,pv_max_transformer_loading_pct,worst_transformer,label,constraint_type,delta
S01689,IEEE_CompTestFeeder,6331,0,75,75,0.91349,0.94918,0.03569,1.0061,92.53,T7,CAUTION,none,0.03568709542919435
S01690,IEEE_CompTestFeeder,6331,0,80,80,0.91349,0.95146,0.03796,1.00614,92.51,T7,CAUTION,none,0.037963569869339464
S01691,IEEE_CompTestFeeder,6331,0,85,85,0.91349,0.95372,0.04023,1.00619,92.49,T7,CAUTION,none,0.04022829100333969
S01692,IEEE_CompTestFeeder,6331,0,90,90,0.91349,0.95597,0.04248,1.00623,92.48,T1,CAUTION,none,0.042481428476266236
S01693,IEEE_CompTestFeeder,6331,0,95,95,0.91349,0.95821,0.04472,1.00628,92.47,T1,CAUTION,none,0.04472314787969267
S01694,IEEE_CompTestFeeder,6331,0,100,100,0.91349,0.96045,0.04695,1.00632,92.47,T1,CAUTION,none,0.0469536108862052
S01695,IEEE_CompTestFeeder,6331,0,110,110,0.91349,0.96487,0.05138,1.0064,92.46,T1,CONSTRAINED,voltage_rise,0.05138139557041477
S01696,IEEE_CompTestFeeder,6331,0,120,120,0.91349,0.96926,0.05577,1.00649,92.45,T1,CONSTRAINED,voltage_rise,0.05576600228237538
S01697,IEEE_CompTestFeeder,6331,0,130,130,0.91349,0.9736,0.06011,1.00657,92.44,T1,CONSTRAINED,voltage_rise,0.06010859576438532
S01698,IEEE_CompTestFeeder,6332,0,75,75,0.91349,0.94918,0.03569,1.0061,92.53,T7,CAUTION,none,0.03568709542919435
S01699,IEEE_CompTestFeeder,6332,0,80,80,0.91349,0.95146,0.03796,1.00614,92.51,T7,CAUTION,none,0.037963569869339464
S01700,IEEE_CompTestFeeder,6332,0,85,85,0.91349,0.95372,0.04023,1.00619,92.49,T7,CAUTION,none,0.04022829100333969
S01701,IEEE_CompTestFeeder,6332,0,90,90,0.91349,0.95597,0.04248,1.00623,92.48,T1,CAUTION,none,0.042481428476266236
S01702,IEEE_CompTestFeeder,6332,0,95,95,0.91349,0.95821,0.04472,1.00628,92.47,T1,CAUTION,none,0.04472314787969267
S01703,IEEE_CompTestFeeder,6332,0,100,100,0.91349,0.96045,0.04695,1.00632,92.47,T1,CAUTION,none,0.0469536108862052
S01704,IEEE_CompTestFeeder,6332,0,110,110,0.91349,0.96487,0.05138,1.0064,92.46,T1,CONSTRAINED,voltage_rise,0.05138139557041477
S01705,IEEE_CompTestFeeder,6332,0,120,120,0.91349,0.96926,0.05577,1.00649,92.45,T1,CONSTRAINED,voltage_rise,0.05576600228237538
S01706,IEEE_CompTestFeeder,6332,0,130,130,0.91349,0.9736,0.06011,1.00657,92.44,T1,CONSTRAINED,voltage_rise,0.06010859576438532
